"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\jest.config.js", "JavaScript", 0, -8, 0, 0, 0, 0, 0, -1, -3, -12
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\config\db.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 0, -1, -2, -23
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\config\r2Multer.ts", "TypeScript", -14, 0, 0, 0, 0, 0, 0, 0, -4, -18
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\config\r2client.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, -19, 0, 0, 0, -6, -25
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\controllers\AuthController.ts", "TypeScript", -16, 0, 0, 0, 0, 0, 0, -1, -6, -23
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\controllers\CervezaController.ts", "TypeScript", -94, 0, 0, 0, 0, 0, 0, -6, -14, -114
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\controllers\DegustacionController.ts", "TypeScript", -132, 0, 0, 0, 0, 0, 0, -7, -20, -159
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\controllers\LocalController.ts", "TypeScript", -32, 0, 0, 0, 0, 0, 0, 0, -7, -39
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\controllers\SolicitudAmistadController.ts", "TypeScript", -82, 0, 0, 0, 0, 0, 0, -4, -29, -115
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\controllers\UsuarioController.ts", "TypeScript", -200, 0, 0, 0, 0, 0, 0, -19, -65, -284
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\data\galardones.json", "JSON", 0, 0, 0, 0, 0, 0, -68, 0, -1, -69
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\files\r2Delete.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, 0, -4, -19
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\files\r2SignedUrl.ts", "TypeScript", -14, 0, 0, 0, 0, 0, 0, 0, -5, -19
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\files\server.ts", "TypeScript", -32, 0, 0, 0, 0, 0, 0, -2, -7, -41
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Cerveza.ts", "TypeScript", -31, 0, 0, 0, 0, 0, 0, -1, -14, -46
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\ComentarioDegustacion.ts", "TypeScript", -26, 0, 0, 0, 0, 0, 0, -1, -6, -33
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Degustacion.ts", "TypeScript", -33, 0, 0, 0, 0, 0, 0, 0, -9, -42
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\LikeLocal.ts", "TypeScript", -23, 0, 0, 0, 0, 0, 0, -1, -5, -29
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Local.ts", "TypeScript", -18, 0, 0, 0, 0, 0, 0, -1, -8, -27
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\SolicitudAmistad.ts", "TypeScript", -17, 0, 0, 0, 0, 0, 0, -1, -5, -23
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Usuario.ts", "TypeScript", -54, 0, 0, 0, 0, 0, 0, -5, -22, -81
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\UsuarioGalardon.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, -1, -8, -28
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\CervezaRepository.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, 0, -2, -5
